Polish, English
dz. nauk biologicznych, Biology
dz. nauk chemicznych, Chemistry
dz. nauk ekonomicznych, Economics
dz. nauk farmaceutycznych, Pharmaceutical sciences
dz. nauk fizycznych, Physics
dz. nauk humanistycznych, Humanities
dz. nauk leśnych, Forestry sciences
dz. nauk matematycznych, Mathematics
dz. nauk medycznych, Medical sciences
dz. nauk o Ziemi, Earth sciences
dz. nauk o kulturze fizycznej, Physical culture sciences
dz. nauk o zdrowiu, Health sciences
dz. nauk prawnych, Law
dz. nauk rolniczych, Agricultural sciences
dz. nauk społecznych, Social sciences
dz. nauk technicznych, Technology
dz. nauk teologicznych, Theology
dz. nauk weterynaryjnych, Veterinary sciences
dz. sztuk filmowych, Film studies
dz. sztuk muzycznych, Music studies
dz. sztuk plastycznych, Visual arts
dz. sztuk teatralnych, Theatre studies
